alpha, r1, r2, filling success rate, n_gaps, n_failures, n_top_gaps, n_bottom_gaps, success_rate_bottom, n_gaps_random, % random gaps
0.1, 99, 112, 1.0, 120, 0, 71, 49, 1.0, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 97, 23, 0.913043478261, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 101, 19, 0.947368421053, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 97, 23, 0.95652173913, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 87, 33, 0.939393939394, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 113, 7, 0.857142857143, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 106, 14, 0.857142857143, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 84, 36, 0.916666666667, 0, 0.0
0.1, 99, 112, 1.0, 120, 0, 95, 25, 1.0, 0, 0.0
0.1, 99, 112, 0.958333333333, 120, 5, 99, 21, 0.761904761905, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 98, 22, 0.954545454545, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 93, 27, 0.888888888889, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 98, 22, 0.954545454545, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 94, 26, 0.961538461538, 0, 0.0
0.1, 99, 112, 0.975, 120, 3, 99, 21, 0.857142857143, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 88, 32, 0.9375, 0, 0.0
0.1, 99, 112, 0.966666666667, 120, 4, 85, 35, 0.885714285714, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 79, 41, 0.951219512195, 0, 0.0
0.1, 99, 112, 0.991666666667, 120, 1, 94, 26, 0.961538461538, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 86, 34, 0.941176470588, 0, 0.0
0.1, 99, 112, 0.983333333333, 120, 2, 103, 17, 0.882352941176, 0, 0.0
